date,open,high,low,close,volume,sma_20,sma_50,rsi
2025-04-02,126.68,136.21,117.0,117.42,6288908.68,,,
2025-04-03,117.42,120.94,112.24,117.17,5854867.278,,,
2025-04-04,117.17,124.0,113.25,122.79,5721072.32,,,
2025-04-05,122.8,122.85,117.15,120.32,1784381.3,,,
2025-04-06,120.33,121.13,103.81,105.91,4934346.985,,,
2025-04-07,105.9,113.0,95.26,106.99,12630664.993,,,
2025-04-08,106.98,112.58,102.96,105.4,5839129.782,,,
2025-04-09,105.4,121.0,101.26,119.05,9334586.139,,,
2025-04-10,119.05,119.3,108.21,112.81,5566324.629,,,
2025-04-11,112.8,122.65,112.16,121.41,4344066.889,,,
2025-04-12,121.41,134.11,119.41,132.24,4620265.855,,,
2025-04-13,132.24,133.96,125.32,128.38,4054370.603,,,
2025-04-14,128.38,136.13,127.98,129.42,4150251.45,,,
2025-04-15,129.41,134.45,125.82,126.11,3431482.497,,,55.95613433858808
2025-04-16,126.1,133.91,123.49,131.33,5320768.994,,,58.89727516950238
2025-04-17,131.33,136.2,129.5,134.83,3817459.718,,,60.845001228199465
2025-04-18,134.84,136.02,132.47,134.04,2556341.874,,,57.34430082256168
2025-04-19,134.05,140.5,133.58,139.87,2816038.068,,,62.22639149468418
2025-04-20,139.86,141.96,135.64,137.86,3498098.615,,,73.64914877868247
2025-04-21,137.86,143.25,133.82,136.56,4657400.503,123.99549999999999,,71.81643795189612
2025-04-22,136.57,150.23,134.68,148.79,5078409.536,125.564,,77.66866471113377
2025-04-23,148.78,154.21,147.13,151.1,4801378.47,127.26050000000001,,73.89294766661695
2025-04-24,151.1,152.9,144.87,152.55,3535860.484,128.74849999999998,,81.90430314707768
2025-04-25,152.55,157.0,149.87,150.82,4226767.973,130.2735,,76.53853095109181
2025-04-26,150.82,153.17,147.75,149.21,1766805.88,132.4385,,68.36977700801037
2025-04-27,149.22,150.41,145.51,147.98,1599977.891,134.488,,72.4977043158861
2025-04-28,147.97,153.4,144.63,147.84,3507950.445,136.60999999999999,,71.58931082981715
2025-04-29,147.84,150.39,145.0,146.31,2498992.492,137.973,,74.70645792563597
2025-04-30,146.3,148.67,140.32,147.54,2780816.363,139.7095,,71.97072377338027
2025-05-01,147.54,153.99,147.54,150.85,3037281.454,141.1815,,71.82561307901902
2025-05-02,150.85,151.91,147.3,148.05,2216263.073,141.972,,68.09609919917335
2025-05-03,148.04,149.05,145.82,146.71,1406583.56,142.8885,,59.99415546464056
2025-05-04,146.71,147.81,143.5,143.95,1613358.553,143.615,,58.707463540177244
2025-05-05,143.94,147.73,142.5,146.72,2030995.801,144.6455,,63.94072447859494
2025-05-06,146.72,147.23,141.41,146.88,2352310.935,145.423,,46.081247435371374
2025-05-07,146.89,149.54,144.68,147.32,2440566.284,146.0475,,41.60000000000001
2025-05-08,147.32,164.6,147.08,164.46,6040622.618,147.5685,,65.59308719560093
2025-05-09,164.46,176.15,161.07,172.78,6318574.649,149.214,,74.51987494417152
2025-05-10,172.77,178.98,168.72,177.89,3339701.179,151.2155,,79.7017398508699
2025-05-11,177.89,180.26,169.35,173.19,3210729.52,153.047,,74.35748792270533
2025-05-12,173.2,181.46,168.31,174.22,6245732.977,154.31850000000003,,75.05699088145897
2025-05-13,174.22,184.83,166.18,183.75,4587043.398,155.951,,80.87071240105541
2025-05-14,183.75,184.88,173.23,176.64,3619155.253,157.15550000000002,,71.87312086590498
2025-05-15,176.63,178.33,166.7,169.16,3546037.724,158.0725,,62.95091243457349
